,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
175,2387.0,3228.0,2916.0,4580.0,121.0,208.0,138.0,242.0,582.0,744.0,514.0,864.0,1.0,1.0,,7.0,16.0,18.0,12.0,45.0
176,2450.0,3257.0,2921.0,4674.0,170.0,221.0,165.0,247.0,526.0,754.0,545.0,819.0,,4.0,,9.0,7.0,33.0,8.0,41.0
177,2549.0,3348.0,3004.0,4797.0,167.0,202.0,179.0,259.0,572.0,706.0,566.0,844.0,2.0,3.0,2.0,4.0,5.0,17.0,17.0,47.0
178,2686.0,3371.0,3122.0,5135.0,179.0,208.0,173.0,271.0,658.0,812.0,611.0,872.0,,3.0,,10.0,13.0,17.0,4.0,52.0
179,2886.0,3540.0,3286.0,4958.0,181.0,254.0,168.0,240.0,635.0,773.0,591.0,869.0,1.0,2.0,1.0,5.0,13.0,15.0,12.0,48.0
180,2931.0,3568.0,3323.0,5294.0,185.0,233.0,180.0,304.0,697.0,781.0,663.0,896.0,1.0,2.0,1.0,4.0,12.0,15.0,10.0,48.0
181,3233.0,3727.0,3576.0,5308.0,189.0,232.0,199.0,307.0,710.0,800.0,668.0,912.0,,2.0,1.0,4.0,7.0,18.0,12.0,40.0
182,3211.0,3688.0,3641.0,5303.0,191.0,230.0,199.0,342.0,725.0,779.0,670.0,859.0,,3.0,,8.0,8.0,11.0,11.0,50.0
183,3483.0,3826.0,3770.0,5297.0,221.0,227.0,203.0,319.0,839.0,813.0,695.0,838.0,,2.0,,10.0,11.0,17.0,8.0,27.0
184,3484.0,3938.0,3906.0,5464.0,249.0,235.0,218.0,312.0,746.0,821.0,743.0,906.0,,4.0,1.0,2.0,14.0,16.0,19.0,51.0
185,3558.0,3937.0,4105.0,5679.0,235.0,223.0,230.0,267.0,893.0,833.0,759.0,1005.0,,4.0,1.0,11.0,13.0,20.0,9.0,38.0
